Svtotal,Ax,Ay,Az
1.05228133,-0.88284971,-0.00147387,0.57259952
1.02683138,-0.85975904,-0.02628406,0.56080854
1.01659599,-0.84747677,-0.03193391,0.56056289
1.0302561,-0.85681129,-0.02358196,0.57161694
1.04991344,-0.86467195,-0.01031711,0.59544455
1.04592084,-0.86368937,-0.01154534,0.5897947
1.04128528,-0.85509178,-0.00024565,0.59421632
1.05403739,-0.86491759,0.02038857,0.60207697
1.0580883,-0.86860227,0.02259938,0.60379649
1.0592625,-0.87228696,0.01154534,0.60084875
1.06565655,-0.87916503,0.01400179,0.60207697
1.05192978,-0.85116145,-0.02014293,0.61779828
1.04163819,-0.83175546,-0.04175972,0.62565893
1.04328146,-0.83396627,-0.03856633,0.62565893
1.0591507,-0.8401074,-0.02333632,0.64457363
1.05994109,-0.83691401,-0.02996874,0.64973219
1.03779372,-0.81652544,-0.04200537,0.63916943
1.03432769,-0.80891043,-0.05355071,0.64236282
1.0484438,-0.80669962,-0.07934348,0.6649622
1.05634663,-0.80645398,-0.10243415,0.67454238
1.03547254,-0.78016992,-0.09236269,0.67454238
1.02505155,-0.78704799,-0.07909783,0.651943
1.01635084,-0.77108103,-0.07074589,0.65832978
1.04856256,-0.79933026,-0.07221976,0.67478802
1.04748947,-0.78483718,-0.04175972,0.69247449
1.05454818,-0.79343477,-0.02505583,0.69419401
1.07483006,-0.81775367,-0.03488165,0.69665047
1.07184775,-0.82045577,-0.04421618,0.68829852
1.0371366,-0.79883897,-0.06411346,0.65832978
1.01706011,-0.79711945,-0.01228227,0.63155443
0.9889333,-0.76592248,0.01449308,0.62541329
1.06104562,-0.85042451,-0.00171952,0.63450217
1.10498434,-0.89906231,0.21592234,0.60502472
1.15705328,-0.964404,0.12159449,0.6276241
1.17090969,-0.99904,0.14296565,0.59372503
1.17159796,-1.00911147,0.18816441,0.56473887
1.16860997,-1.00542678,0.22623945,0.55098272
1.10303758,-0.92608331,0.28077274,0.52936592
1.04885652,-0.8860431,0.26554272,0.49448427
1.08923049,-0.9184683,0.4335642,0.39352399
1.03539226,-0.90520344,0.31393487,0.39254141
0.97590488,-0.86196985,0.30926761,0.33727119
0.92613898,-0.83224675,0.30754809,0.26554272
0.91235306,-0.79024138,0.36527477,0.27291208
0.92531481,-0.79368042,0.39450658,0.26578837
0.95245141,-0.8189819,0.40408675,0.27045563
0.92441353,-0.79515429,0.40089336,0.24810189
0.91374547,-0.82217529,0.33211263,0.2205896
0.90068526,-0.82070141,0.31319794,0.19897281
0.84841739,-0.76985281,0.28052709,0.22009831
0.85922579,-0.75658795,0.32425198,0.24638238
0.77317284,-0.6811748,0.27561418,0.24048689
0.79695021,-0.71851291,0.2210809,0.26456014
0.822567,-0.69124627,0.30681115,0.32351504
0.85598882,-0.68019222,0.41907112,0.30730244
0.80002243,-0.72342582,0.10292544,0.32572585
0.80422089,-0.67699883,0.29108985,0.32204117
0.86736226,-0.58832083,0.57824936,0.26799917
0.81899394,-0.76862458,0.00515855,0.2827379
0.82070792,-0.74799036,0.14173742,0.30656551
0.91470983,-0.81234947,0.10538189,0.40703449
0.76163136,-0.62860668,0.1184011,0.41342127
0.75260828,-0.63966072,0.11496207,0.3795222
0.82427183,-0.67184028,0.15770437,0.45075938
1.18372543,-0.01203663,1.11326513,0.40212158
1.59124654,-0.28912468,1.46674892,0.54508723
1.27491379,-0.29477453,1.18966086,0.35102733
1.18808869,-0.38050479,1.10073721,0.23483704
1.92284406,-0.71753033,1.56377887,0.85853081
1.30601145,-0.56179112,0.23778479,1.15477921
1.01935544,-0.44535518,-0.11348819,0.90987071
1.06355937,-0.08229122,-0.11987497,1.05357329
1.08678701,0.30754809,0.51511849,0.90618603
0.88329909,0.31663697,0.36404654,0.73988406
5.30167853,1.08378768,2.81190335,4.36192607
3.20916117,0.80522575,0.53403319,3.06025089
1.42023675,0.26726224,-0.6168157,1.25107222
0.28327308,-0.04814651,0.27585983,0.04274231
1.35207215,0.36502912,0.91895959,0.92215298
1.16414401,-0.08401074,-0.3475883,1.10786093
1.16126899,-0.18963828,-0.41514079,1.06782073
1.20663895,-0.14468516,-0.41612337,1.1233366
1.10755438,-0.1129969,-0.26456014,1.06954024
1.04007065,-0.25866465,0.12945515,0.99904
1.26850993,-0.0378294,-0.054042,1.26679353
1.17613687,0.18079504,0.00466726,1.16214857
1.24116972,-0.1048906,-0.11447077,1.23142059
1.22011754,-0.0405315,-0.26234933,1.19088909
1.11976767,0.09285398,-0.33751683,1.06364475
0.97180025,0.44412695,-0.34464055,0.79269783
1.27513055,0.25080399,-0.4470747,1.16755277
1.08748082,0.34709701,-0.27708806,0.99265322
0.99758001,0.40973659,-0.22845026,0.88039326
1.1650778,0.37657446,-0.28937033,1.0638904
1.05815944,0.374118,-0.24982141,0.95777157
0.97845922,0.40728014,-0.2021662,0.86639147
1.05808536,0.59495325,-0.16114341,0.86000468
1.2438755,0.66201446,-0.09359091,1.04890603
1.2416623,0.59642713,-0.01400179,1.08894623
1.16426309,0.34046458,0.20093797,1.09508737
0.97935072,0.44928551,0.43209033,0.75535973
0.98039858,0.44289873,0.46451553,0.74111229
0.96624293,0.40998224,0.3822243,0.78704799
0.96527272,0.38934802,0.34734265,0.81210382
0.91484941,0.34414926,0.36674864,0.76420296
0.91659257,0.3259715,0.41317563,0.75044682
0.96262505,0.36060751,0.5600716,0.69493095
1.00627661,0.39941948,0.64555622,0.66054059
1.21805195,0.51217074,0.8157885,0.74553391
1.25264273,0.58414486,0.85853081,0.70058079
1.02424154,0.38296124,0.69984386,0.64236282
1.04879793,0.38861109,0.66889253,0.7081958
1.10212636,0.47581522,0.69566788,0.71016097
1.23222405,0.6357304,0.74356875,0.74921859
1.25755246,0.651943,0.71826727,0.80031284
